In which faculty are you based?,Which of the following organisations usually fund your research?,What is your job title?,Simplified job title,Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training to develop reliable software?,Would you be interested in the university helping you commercialise some of your research software?,Do you feel that your research software is ready to be shared with a commercial partner?,"Have you used IRIDIS, the University's high-performance computing (HPC) system?",How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from a central Southampton pool as needed]
Faculty of Environmental and Life Sciences,BBSRC;EPSRC;MRC;NIHR;Wellcome Trust,Lecturer,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
Faculty of Engineering and Physical Sciences,NERC,Post Graduate Researcher (PhD),Post Graduate Researcher (PhD),Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Engineering and Physical Sciences,NERC,PhD student,PhD,Yes,5,Yes,2,No,Yes,No,Yes,Not confident,Not heard of it,Not heard of it,1,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,MRC,lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NIHR,Research Fellow,Research Fellow,Yes,5,Yes,3,No,,No,"No, I do not require HPC in my research",Confident,Not confident,Not confident,3,Yes,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NIHR;Versus Arthritis,Senior Research Fellow,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,Suitable
Faculty of Environmental and Life Sciences,ESRC;MRC;NIHR;Wellcome Trust,Lecturer and Researcher,Lecturer and Researcher,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Perfect
Faculty of Environmental and Life Sciences,NERC,Associate Professor,Associate Professor,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,none ,Phd nursing ,Phd nursing ,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Environmental and Life Sciences,ESRC,PhD Candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Unsuitable
Faculty of Environmental and Life Sciences,,Lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,No (but we DID expect to write software as part of the project),,
Faculty of Environmental and Life Sciences,NERC,post doctoral research fellow,post doctoral research fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Postdoctoral Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NIHR,Research fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Social Sciences,NHS,Trainee Clinical Psychologist ,Trainee Clinical Psychologist,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Environmental and Life Sciences,Australian Research Council ,Senior Research Assistant ,Research Assistant,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Research Fellow,Research Fellow,Yes,5,Yes,4,No,No,No,"No, but I would like to use IRIDIS in the future",Not confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,Alzheimer’s society ,PhD Student ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,,Principal Teaching Fellow,Principal Teaching Fellow,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,I do not run computational modelling any more.,Not heard of it,Not heard of it,Not heard of it,1,Yes,No (I'm not involved in writing funding proposals);No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,,postgraduate research student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,Great Ormand St Hospital,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,,lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Environmental and Life Sciences,EPSRC;NERC,Professor,Professor,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,Yes,Not confident,Not heard of it,Not confident,2,Yes,Yes,Suitable,Suitable
Faculty of Environmental and Life Sciences,ERC,PhD student,PhD,Yes,5,Yes,4,No,Yes,I'm not interested in commercialising my research software,"I have access to it but I am using other HPC facilities for now, still have to migrate to IRIDIS.",Not confident,Not confident,,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,Saudi Cultural Bureau,PhD candidate,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,ESRC;Office for National Statistics,Professor of Geography,Professor of Geography,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Not confident,1,No,Yes,Unsuitable,Suitable
Faculty of Environmental and Life Sciences,EPSRC;NIHR,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,EPSRC;NERC,PhD student ,PhD,Yes,5,Yes,3,Yes,No,No,"No, but I would like to use IRIDIS in the future",Confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),,
Faculty of Environmental and Life Sciences,R&A,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Environmental and Life Sciences,Leverhulme trust,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,CONACyT,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Perfect
Faculty of Environmental and Life Sciences,EU,Postgraduate researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,MRC;Cancer Research UK,Lecturer,Lecturer,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,NOC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Arts and Humanities,European Commission,Postdoctoral fellow,Postdoctoral fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,EPSRC;Wellcome Trust,Associate Professor,Associate Professor,Yes,5,Yes,4,No,No,I'm not interested in commercialising my research software,Yes,Confident,Not confident,Not confident,3,No,Yes,Suitable,Suitable
Faculty of Environmental and Life Sciences,EU,Senior Research Fellow,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD researcher,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals);No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,MRC,PGR,PGR,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NIHR,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,,Doctoral student,PhD,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),,
Faculty of Environmental and Life Sciences,Unsure- funded DEdPsych course ,Trainee Educational Psychologist ,Trainee Educational Psychologist,Yes,3,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
Faculty of Engineering and Physical Sciences,NERC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NIHR,Clinical Academic ,Clinical Academic ,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,We are an enterprise group so we bring money in from multiple sources,GIS Analyst (Senior Enterprise Fellow),GIS Analyst (Senior Enterprise Fellow),Yes,5,Yes,4,Yes,No,Yes,"No, but I would like to use IRIDIS in the future",Not confident,Not heard of it,Not confident,4,No,Yes,Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,Yes,2,No,Yes,No,Yes,Not confident,Not confident,Not confident,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC,Research Fellow,Research Fellow,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,ESRC,PhD student ,PhD,Yes,5,No,,,,,,,,,,Yes,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Environmental and Life Sciences,The Health Foundation,PhD student and Research Fellow,PhD,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,STFC,Research Fellow ,Research Fellow,Yes,5,No,,,,,,,,,,No,Yes,Suitable,Suitable
Faculty of Environmental and Life Sciences,EPSRC;NERC,Professor,Professor,Yes,5,Yes,3,No,No,I'm not interested in commercialising my research software,My PhD students have used it,Not confident,Not heard of it,Not heard of it,3,No,No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,BBSRC;ESRC,Lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,Yes,Unsuitable,Unsuitable
Various contracts with health and social care charities.,EPSRC,Senior lecturer,Senior lecturer,Yes,5,Yes,4,Yes,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Confident,Not confident,Confident,5,Yes,Yes,Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Professor,Professor,Yes,5,Yes,1,No,Yes,No,"No, I do not require HPC in my research",Confident,Not heard of it,Not heard of it,2,No,No (but we DID expect to write software as part of the project),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,ESRC;MRC;NIHR,,,Yes,5,No,,,,,,,,,,Yes,Yes;No (but we DID expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,ESRC;MRC;NIHR,,,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,Yes,Confident,Not heard of it,Not heard of it,3,Yes,Yes,Unsuitable,Suitable
Faculty of Environmental and Life Sciences,Chinese Scholarship Council,PhD,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Perfect
Faculty of Environmental and Life Sciences,EPSRC,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Research Fellow,Research Fellow,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,Movember,Senior Research Assistant,Research Assistant,Yes,5,No,,,,,,,,,,Yes,Yes,Suitable,Unsuitable
Faculty of Environmental and Life Sciences,"BBSRC;MRC;ARUK, AS",Lecturer,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC;NERC,postdoctoral research fellow,Research Fellow,Yes,5,Yes,3,No,No,No,Yes,Confident,Not confident,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,,Trainee clinical psychologist ,Trainee Clinical Psychologist,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Perfect
Faculty of Environmental and Life Sciences,BBSRC;MRC,professor,Professor,Yes,4,Yes,2,No,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,3,Yes,Yes,Suitable,
Faculty of Environmental and Life Sciences,NERC,Senior Research Fellow,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,Alzheimers society,clinical doctoral research fellow,clinical doctoral research fellow,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,The University of Southampton,"PhD researcher, psychology teaching assistant","PhD researcher, psychology teaching assistant",Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Social Sciences,nhs,Trainee Clinical Psychologist,Trainee Clinical Psychologist,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC;EPSRC,Associate Professor,Associate Professor,Yes,5,No,,,,,,,,,,No,Yes,Perfect,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,self funded usually,senior lecturer,Senior lecturer,Yes,3,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,Suitable
Faculty of Environmental and Life Sciences,UoS & Unilever,PhD Student ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC;Erc,Research fellow ,Research Fellow,Yes,5,Yes,3,Yes,Yes,Yes,Yes,Confident,Confident,Confident,3,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Social Sciences,"Not sure, on the Doctorate of Educational Psychology ",Trainee Educational Psychologist,Trainee Educational Psychologist,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,Vitacress,PhD student ,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Professor,Professor,Yes,5,Yes,3,No,No,No,"No, I do not require HPC in my research",Not heard of it,Not heard of it,Not heard of it,3,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,Health Education England (Wessex),Part Time PhD student,Part Time PhD student,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),,
Faculty of Environmental and Life Sciences,ESRC,PhD student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Arts and Humanities,,,,No,1,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NHS Trust & charities,Arts Officer,Arts Officer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,PhD student,PhD,Yes,5,Yes,3,No,No,No,"No, I use other HPC facilities",Not confident,Not heard of it,Not heard of it,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NERC,Lecturer ,Lecturer,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Suitable,Suitable
Faculty of Environmental and Life Sciences,MRC;Cancer Research UK;Wellcome Trust,Postdoc,Postdoc,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Perfect,Perfect
Faculty of Arts and Humanities,SMMI/self-funded,Research PhD student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Perfect
Faculty of Environmental and Life Sciences,NERC,PhD candidate,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,Postgraduate research student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NIHR,Trainee Clinical Psychologist,Trainee Clinical Psychologist,Yes,4,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,NERC,PhD Student,PhD,Yes,5,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NIHR;Versus Arthritis,Senior Research Fellow,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,Yes,Perfect,Suitable
Faculty of Arts and Humanities,Vice-Chancellor's scholarship,PhD student,PhD,Yes,4,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC;MRC;Wellcome Trust,Reader,Reader,Yes,5,Yes,1,No,No,I'm not interested in commercialising my research software,Yes,Not confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,NIHR,Senior Teaching Fellow,Senior Teaching Fellow,Yes,2,No,,,,,,,,,,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
Faculty of Environmental and Life Sciences,EPSRC;NERC,Senior Research Fellow,Senior Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Environmental and Life Sciences,BBSRC;EPSRC;MRC,Research Fellow,Research Fellow,Yes,5,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;ESRC,Associate Professor,Associate Professor,Yes,5,Yes,3,Yes,No,I'm not interested in commercialising my research software,"No, I do not require HPC in my research",Confident,Not confident,Confident,2,Yes,No (but we DID expect to write software as part of the project),Suitable,Suitable
Faculty of Engineering and Physical Sciences,EPSRC;ATI,Enterprise Fellow,Enterprise Fellow,Yes,2,No,,,,,,,,,,No,No (we did NOT expect to write software as part of the project),Unsuitable,Perfect
Faculty of Engineering and Physical Sciences,EPSRC,PhD Student,PhD,Yes,5,Yes,5,Yes,No,I'm not interested in commercialising my research software,"No, but I would like to use IRIDIS in the future",Very confident,Confident,Confident,4,No,No (I'm not involved in writing funding proposals),,
